 LP 	    ID    
00001	5557705656
00002	1543418179
00003	4967981459
00004	9751894952
00005	7108034189
00006	3984747682
00007	6338311972
00008	2114123465
00009	9561266691
00010	5355157315
00011	8790630385
00012	4585543908
00013	2932585032
00014	7718478826
00015	1131860818
00016	6927872511
00017	1458303714
00018	7442226217
00019	0866787508
00020	6662490021
00021	4899633257
00022	9805526740
00023	3227917031
00024	8013920534
00025	6460862768
00026	1246755461
00027	5699239442
00028	0475159065
00029	8822392271
00030	4617085994
00031	7032668974
00032	2846471678
00033	3811103635
00034	8607816328
00035	2249599418
00036	7025292932
00037	5282425168
00038	0068345861
00039	4680729941
00040	9476712644
00041	7623654678
00042	3419565372
00043	6054058354
00044	1837941177
00045	9085184301
00046	5070897805
00047	8415458895
00048	4201271588
00049	9710702793
00050	5596614597
00051	8930106577
00052	3924099290
00053	1171031204
00054	7967944927
00055	0581327018
00056	6387318701
00057	3524451737
00058	9328173430
00059	2943837421
00060	8739548224
00061	6986780450
00062	1771693963
00063	5314066954
00064	0190879657
00065	0273591604
00066	6079404307
00067	9403998497
00068	5289600101
00069	2636823315
00070	8420734838
00071	1864127920
00072	7650130623
00073	5907252858
00074	0783963341
00075	4206447531
00076	9112350154
00077	7349572360
00078	2154285884
00079	6577876064
00080	1563669567
00081	6057593382
00082	1833414885
00083	5276998167
00084	0062880680
00085	8419023895
00086	4205736318
00087	7627327508
00088	2633110191
00089	0860252227
00090	6666165021
00091	9080647011
00092	5074340534
00093	2221582740
00094	8017495454
00095	1452858544
00096	7437869247
00097	7210313294
00098	3216206997
00099	6649789088
00100	1425600591
00101	9672813725
00102	5667536428
00103	8002019419
00104	4896922112
00105	1243042148
00106	7029755931
00107	0453448922
00108	6259151645
00109	4686374651
00110	9490285374
00111	3815768454
00112	8600681158
00113	3120192361
00114	9115805054
00115	2530596144
00116	8326209648
00117	6573421874
00118	1557334597
00119	5901715577
00120	0787528370
00121	8934641307
00122	3920564000
00123	7362045080
00124	2158958783
00125	0505170917
00126	6381883431
00127	9714276503
00128	4599267214
00129	5694901271
00130	0478614974
00131	4893188055
00132	9809099778
00133	7956231984
00134	2742924407
00135	6364517488
00136	1140320281
00137	9397461317
00138	5183353910
00139	8725837101
00140	3511740694
00141	1768782828
00142	7754673341
00143	0199066633
00144	6972079137
00145	1584500330
00146	7379403033
00147	0712984123
00148	5798697817
00149	3855830043
00150	9631722546
00151	2155114536
00152	8149127350
00153	5296069584
00154	1082952077
00155	4626433269
00156	0402356760
00157	8659579997
00158	3443281590
00159	7088865770
00160	2874676293
00161	2947300440
00162	8732013944
00163	1177796234
00164	7961497737
00165	4318629963
00166	0194542476
00167	3538926647
00168	9324918260
00169	7771851496
00170	2565762197
00171	6989235170
00172	1975148673
00173	9122380807
00174	4908091520
00175	8341655681
00176	3336478304
00177	9848908599
00178	4641811012
00179	8076303393
00180	3852295896
00181	1209238020
00182	6095141523
00183	0437502705
00184	5223515327
00185	3670657533
00186	9456370256
00187	2879034246
00188	7684744730
00189	5011987966
00190	1827870769
00191	4242263759
00192	0236074472
00193	0021798429
00194	5016601123
00195	9439194203
00196	4235807706
